Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6901,108,6573,220
Andhra Pradesh,India,1627390,10427,1424859,192104
Arunachal Pradesh,India,25376,107,21765,3504
Assam,India,386870,3005,329634,54231
Bihar,India,698329,4845,662491,30993
Chandigarh,India,59216,722,54921,3573
Chhattisgarh,India,959544,12779,893285,53480
Dadra and Nagar Haveli and Daman and Diu,India,10129,4,9750,375
Delhi,India,1421477,23695,1378634,19148
Goa,India,150897,2499,132607,15791
Gujarat,India,797997,9701,732748,55548
Haryana,India,747740,7841,708255,31644
Himachal Pradesh,India,184347,2932,159234,22181
Jammu and Kashmir,India,278859,3702,231265,43892
Jharkhand,India,334035,4910,314929,14196
Karnataka,India,2499784,26929,2062910,409945
Kerala,India,2424388,7882,2167596,248910
Ladakh,India,18045,181,16200,1664
Lakshadweep,India,7229,26,4956,2247
Madhya Pradesh,India,771878,7758,720855,43265
Maharashtra,India,5650907,91341,5241833,317733
Manipur,India,46298,730,38325,7243
Meghalaya,India,32295,512,23728,8055
Mizoram,India,11143,34,8292,2817
Nagaland,India,20795,327,15545,4923
Odisha,India,726003,2584,623628,99791
Puducherry,India,99540,1435,83263,14842
Punjab,India,552235,13827,487859,50549
Rajasthan,India,927746,8018,841602,78126
Sikkim,India,13806,239,10145,3422
Tamil Nadu,India,1945260,21815,1613221,310224
Telangana,India,563903,3189,522082,38632
Tripura,India,48507,479,40557,7471
Uttar Pradesh,India,1680684,19712,1598701,62271
Uttarakhand,India,321337,6113,271704,43520
West Bengal,India,1318203,14827,1179999,123377
