Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6150,70,5850,230
Andhra Pradesh,India,1163994,8207,1003935,151852
Arunachal Pradesh,India,18958,59,17363,1536
Assam,India,263450,1389,234237,27824
Bihar,India,509047,2821,398558,107668
Chandigarh,India,45196,507,36746,7943
Chhattisgarh,India,771701,9275,641449,120977
Dadra and Nagar Haveli and Daman and Diu,India,8008,4,6334,1670
Delhi,India,1212989,17414,1105983,89592
Goa,India,98088,1320,70929,25839
Gujarat,India,607422,7648,452275,147499
Haryana,India,527773,4626,418425,104722
Himachal Pradesh,India,107121,1612,83721,21788
Jammu and Kashmir,India,187219,2421,150231,34567
Jharkhand,India,251371,3073,188623,59675
Karnataka,India,1646303,16250,1185299,444754
Kerala,India,1664789,5450,1313109,346230
Ladakh,India,14315,148,12884,1283
Lakshadweep,India,3080,6,1868,1206
Madhya Pradesh,India,600430,5905,508775,85750
Maharashtra,India,4771022,70851,4041158,659013
Manipur,India,32523,422,30030,2071
Meghalaya,India,17675,185,15606,1884
Mizoram,India,6556,17,5112,1427
Nagaland,India,14451,115,12752,1584
Odisha,India,471536,2073,404063,65400
Puducherry,India,62160,848,50698,10614
Punjab,India,392042,9472,321861,60709
Rajasthan,India,651247,4712,452164,194371
Sikkim,India,8468,150,6595,1723
Tamil Nadu,India,1228064,14468,1090338,123258
Telangana,India,463361,2476,381365,79520
Tripura,India,35994,400,33869,1725
Uttar Pradesh,India,1342413,13447,1043134,285832
Uttarakhand,India,197023,2930,138657,55436
West Bengal,India,880894,11637,749296,119961
