Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6341,74,6056,211
Andhra Pradesh,India,1265439,8615,1069432,187392
Arunachal Pradesh,India,20046,60,17984,2002
Assam,India,289069,1628,249295,38146
Bihar,India,580217,3215,464025,112977
Chandigarh,India,49312,558,40249,8505
Chhattisgarh,India,842356,10381,701116,130859
Dadra and Nagar Haveli and Daman and Diu,India,8737,4,7308,1425
Delhi,India,1310231,19071,1203253,87907
Goa,India,116213,1612,82214,32387
Gujarat,India,669928,8273,518234,143421
Haryana,India,602349,5454,480786,116109
Himachal Pradesh,India,128330,1830,94607,31893
Jammu and Kashmir,India,211742,2672,162535,46535
Jharkhand,India,282174,3756,217223,61195
Karnataka,India,1886448,18286,1319301,548861
Kerala,India,1866827,5746,1443633,417448
Ladakh,India,15179,153,13614,1412
Lakshadweep,India,3756,9,2708,1039
Madhya Pradesh,India,660712,6334,551892,102486
Maharashtra,India,5053336,75277,4347592,630467
Manipur,India,34775,461,30463,3851
Meghalaya,India,19302,210,16414,2678
Mizoram,India,7551,17,5583,1951
Nagaland,India,15580,122,13025,2711
Odisha,India,524207,2161,439322,82724
Puducherry,India,70076,939,55552,13585
Punjab,India,433689,10315,351426,71948
Rajasthan,India,738786,5506,533973,199307
Sikkim,India,9651,165,6958,2528
Tamil Nadu,India,1351362,15412,1196549,139401
Telangana,India,492385,2704,421219,68462
Tripura,India,37559,406,34402,2751
Uttar Pradesh,India,1480315,15170,1219409,245736
Uttarakhand,India,238383,3548,163661,71174
West Bengal,India,973718,12203,836351,125164
