Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6853,104,6495,254
Andhra Pradesh,India,1593821,10222,1379837,203762
Arunachal Pradesh,India,24573,102,21344,3127
Assam,India,375404,2823,318585,53996
Bihar,India,692420,4642,649835,37943
Chandigarh,India,58734,709,53597,4428
Chhattisgarh,India,953209,12646,879625,60938
Dadra and Nagar Haveli and Daman and Diu,India,10049,4,9606,439
Delhi,India,1418418,23409,1370431,24578
Goa,India,147861,2421,129162,16278
Gujarat,India,791657,9621,713065,68971
Haryana,India,741785,7607,696059,38119
Himachal Pradesh,India,180983,2827,153975,24181
Jammu and Kashmir,India,272858,3609,223619,45630
Jharkhand,India,331811,4871,309371,17569
Karnataka,India,2450215,25811,1983948,440456
Kerala,India,2365787,7554,2098674,259559
Ladakh,India,17532,178,15891,1463
Lakshadweep,India,6847,24,4661,2162
Madhya Pradesh,India,767274,7618,706003,53653
Maharashtra,India,5602019,89212,5182592,330215
Manipur,India,44627,705,37478,6444
Meghalaya,India,30492,483,22221,7788
Mizoram,India,10622,34,8019,2569
Nagaland,India,20259,297,15248,4714
Odisha,India,703441,2516,601224,99701
Puducherry,India,96982,1382,79765,15835
Punjab,India,543475,13468,475011,54996
Rajasthan,India,920456,7806,812775,99875
Sikkim,India,13233,232,9817,3184
Tamil Nadu,India,1877211,20872,1554759,301580
Telangana,India,556320,3146,513968,39206
Tripura,India,47298,470,38526,8302
Uttar Pradesh,India,1673785,19362,1577720,76703
Uttarakhand,India,315590,5927,260084,49579
West Bengal,India,1284973,14517,1141871,128585
