Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6255,72,5958,225
Andhra Pradesh,India,1228186,8446,1037411,182329
Arunachal Pradesh,India,19634,59,17717,1858
Assam,India,277687,1531,242980,33176
Bihar,India,553803,3077,435574,115152
Chandigarh,India,47552,541,38591,8420
Chhattisgarh,India,816489,9950,675294,131245
Dadra and Nagar Haveli and Daman and Diu,India,8502,4,6917,1581
Delhi,India,1273035,18398,1164008,90629
Goa,India,108267,1501,77014,29752
Gujarat,India,645972,8035,490412,147525
Haryana,India,573815,5137,452836,115842
Himachal Pradesh,India,118729,1737,89236,27756
Jammu and Kashmir,India,201511,2562,157283,41666
Jharkhand,India,270089,3479,205977,60633
Karnataka,India,1790104,17212,1255797,517095
Kerala,India,1786396,5628,1389515,391253
Ladakh,India,14909,151,13326,1432
Lakshadweep,India,3528,8,2374,1146
Madhya Pradesh,India,637406,6160,542632,88614
Maharashtra,India,4942736,73515,4227940,641281
Manipur,India,33733,447,30295,2991
Meghalaya,India,18630,193,16086,2351
Mizoram,India,7147,17,5351,1779
Nagaland,India,15271,121,12905,2245
Odisha,India,500162,2121,423257,74784
Puducherry,India,66627,901,53296,12430
Punjab,India,416350,9979,339803,66568
Rajasthan,India,702568,5182,499376,198010
Sikkim,India,9183,158,6769,2256
Tamil Nadu,India,1297500,14974,1151058,131468
Telangana,India,481640,2625,405164,73851
Tripura,India,36849,404,34153,2292
Uttar Pradesh,India,1425916,14501,1151571,259844
Uttarakhand,India,220351,3293,154147,62911
West Bengal,India,935066,11964,800328,122774
