Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6709,95,6385,229
Andhra Pradesh,India,1498532,9686,1279110,209736
Arunachal Pradesh,India,22799,89,20125,2585
Assam,India,347001,2433,294831,49737
Bihar,India,670174,4143,607420,58611
Chandigarh,India,56927,656,49701,6570
Chhattisgarh,India,931211,12182,833161,85868
Dadra and Nagar Haveli and Daman and Diu,India,9748,4,9088,656
Delhi,India,1406719,22346,1339326,45047
Goa,India,139985,2228,114793,22964
Gujarat,India,771447,9340,669490,92617
Haryana,India,716507,7076,638673,70758
Himachal Pradesh,India,170074,2529,132421,35124
Jammu and Kashmir,India,255888,3355,202039,50494
Jharkhand,India,322828,4654,289333,28841
Karnataka,India,2306655,23306,1724438,558911
Kerala,India,2233468,6724,1894518,332226
Ladakh,India,16918,171,15158,1589
Lakshadweep,India,5466,18,3974,1474
Madhya Pradesh,India,747783,7227,662949,77607
Maharashtra,India,5467537,84371,4978937,404229
Manipur,India,41265,635,33813,6817
Meghalaya,India,25744,379,19596,5769
Mizoram,India,9444,30,7271,2143
Nagaland,India,18958,234,14298,4426
Odisha,India,644401,2378,546631,95392
Puducherry,India,89508,1241,70615,17652
Punjab,India,517954,12525,434930,70499
Rajasthan,India,889513,7219,729168,153126
Sikkim,India,11955,214,8649,3092
Tamil Nadu,India,1699225,18734,1426915,253576
Telangana,India,540603,3037,490620,46946
Tripura,India,43496,453,36718,6325
Uttar Pradesh,India,1644849,18352,1502918,123579
Uttarakhand,India,300282,5325,221785,73172
West Bengal,India,1190867,13733,1045643,131491
