Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6367,76,6088,203
Andhra Pradesh,India,1287603,8707,1088264,190632
Arunachal Pradesh,India,20165,60,18172,1933
Assam,India,292368,1676,253340,37352
Bihar,India,591476,3282,477389,110805
Chandigarh,India,50207,568,41128,8511
Chhattisgarh,India,851476,10570,714359,126547
Dadra and Nagar Haveli and Daman and Diu,India,8847,4,7523,1320
Delhi,India,1323567,19344,1217991,86232
Goa,India,118846,1679,85292,31875
Gujarat,India,681012,8394,533004,139614
Haryana,India,615897,5605,493425,116867
Himachal Pradesh,India,131423,1885,97069,32469
Jammu and Kashmir,India,216932,2726,164958,49248
Jharkhand,India,286343,3853,223684,58806
Karnataka,India,1934378,18776,1351097,564505
Kerala,India,1902628,5814,1472951,423863
Ladakh,India,15317,155,13719,1443
Lakshadweep,India,3881,9,2856,1016
Madhya Pradesh,India,671763,6420,556430,108913
Maharashtra,India,5101737,75849,4407818,618070
Manipur,India,35354,476,30598,4280
Meghalaya,India,19720,228,16593,2899
Mizoram,India,7623,21,5755,1847
Nagaland,India,16150,140,13201,2809
Odisha,India,534842,2180,447863,84799
Puducherry,India,71709,965,56710,14034
Punjab,India,442125,10506,357276,74343
Rajasthan,India,756707,5665,550853,200189
Sikkim,India,9878,167,7074,2637
Tamil Nadu,India,1380259,15648,1220064,144547
Telangana,India,497361,2739,428865,65757
Tripura,India,37692,410,34532,2750
Uttar Pradesh,India,1503490,15464,1254045,233981
Uttarakhand,India,244273,3728,166431,74114
West Bengal,India,993159,12327,854805,126027
