Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,6510,83,6213,214
Andhra Pradesh,India,1366785,9077,1156666,201042
Arunachal Pradesh,India,21110,72,18871,2167
Assam,India,315554,1984,270079,43491
Bihar,India,630185,3593,530314,96278
Chandigarh,India,53393,609,44343,8441
Chhattisgarh,India,892331,11289,761592,119450
Dadra and Nagar Haveli and Daman and Diu,India,9257,4,8197,1056
Delhi,India,1372475,20618,1274140,77717
Goa,India,130130,1937,95240,32953
Gujarat,India,725353,8840,593666,122847
Haryana,India,665028,6238,555650,103140
Himachal Pradesh,India,150673,2131,108534,40008
Jammu and Kashmir,India,233763,2967,177948,52848
Jharkhand,India,306248,4290,253490,48468
Karnataka,India,2088488,20712,1474678,593098
Kerala,India,2050889,6150,1605471,439268
Ladakh,India,15916,161,14208,1547
Lakshadweep,India,4395,13,3290,1092
Madhya Pradesh,India,708621,6753,593752,108116
Maharashtra,India,5269292,78857,4654731,535704
Manipur,India,37596,536,31491,5569
Meghalaya,India,21576,268,17582,3726
Mizoram,India,8377,23,6204,2150
Nagaland,India,17256,177,13528,3551
Odisha,India,576297,2251,482345,91701
Puducherry,India,78973,1069,61336,16568
Punjab,India,475949,11297,384702,79950
Rajasthan,India,821525,6317,603319,211889
Sikkim,India,10623,192,7485,2946
Tamil Nadu,India,1499485,16768,1298945,183772
Telangana,India,516404,2867,456620,56917
Tripura,India,39606,426,35146,4034
Uttar Pradesh,India,1580980,16646,1359676,204658
Uttarakhand,India,271810,4245,189261,78304
West Bengal,India,1073956,12857,930886,130213
