Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5490,64,5276,150
Andhra Pradesh,India,986703,7510,918985,60208
Arunachal Pradesh,India,17186,56,16851,279
Assam,India,229138,1150,217593,10395
Bihar,India,354281,1897,288637,63747
Chandigarh,India,35770,423,31222,4125
Chhattisgarh,India,588818,6467,459600,122751
Dadra and Nagar Haveli and Daman and Diu,India,5672,4,4150,1518
Delhi,India,930179,12887,831928,85364
Goa,India,70814,943,60571,9300
Gujarat,India,440731,5740,350865,84126
Haryana,India,381247,3528,322297,55422
Himachal Pradesh,India,81102,1236,69073,10793
Jammu and Kashmir,India,152442,2084,135430,14928
Jharkhand,India,177356,1609,139921,35826
Karnataka,India,1222202,13762,1032233,176207
Kerala,India,1295059,5000,1154102,135957
Ladakh,India,12739,134,10630,1975
Lakshadweep,India,1335,1,833,692
Madhya Pradesh,India,446811,4788,359755,82268
Maharashtra,India,4027827,61911,3268449,697467
Manipur,India,29961,380,29128,453
Meghalaya,India,15308,157,14130,1021
Mizoram,India,5158,12,4576,570
Nagaland,India,12747,94,12306,347
Odisha,India,382315,1958,351386,28971
Puducherry,India,49593,722,43467,5404
Punjab,India,314269,8114,267289,38866
Rajasthan,India,453407,3330,353711,96366
Sikkim,India,6846,136,6174,536
Tamil Nadu,India,1025059,13258,927440,84361
Telangana,India,373468,1899,321788,49781
Tripura,India,34262,394,33268,600
Uttar Pradesh,India,942511,10346,689900,242265
Uttarakhand,India,134012,1953,107166,24893
West Bengal,India,688956,10710,614750,63496
