Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5201,62,5050,89
Andhra Pradesh,India,928664,7311,898238,23115
Arunachal Pradesh,India,16888,56,16791,41
Assam,India,220893,1118,216041,3734
Bihar,India,286228,1616,267559,17053
Chandigarh,India,31167,400,27412,3355
Chhattisgarh,India,456873,5031,352986,98856
Dadra and Nagar Haveli and Daman and Diu,India,4209,2,3706,501
Delhi,India,736688,11355,687238,38095
Goa,India,62780,850,57365,4565
Gujarat,India,353516,4855,317981,30680
Haryana,India,320699,3282,294930,22487
Himachal Pradesh,India,70775,1124,63582,6069
Jammu and Kashmir,India,139381,2034,129439,7908
Jharkhand,India,141750,1232,125175,15343
Karnataka,India,1074869,12941,985924,76004
Kerala,India,1172882,4794,1120174,47914
Ladakh,India,10905,131,10053,721
Lakshadweep,India,813,1,737,75
Madhya Pradesh,India,344634,4221,301762,38651
Maharashtra,India,3458996,58245,2834473,566278
Manipur,India,29514,376,29035,103
Meghalaya,India,14300,151,13956,193
Mizoram,India,4655,12,4468,175
Nagaland,India,12416,93,12156,167
Odisha,India,351302,1928,340600,8774
Puducherry,India,44555,693,41268,2594
Punjab,India,276223,7559,240798,27866
Rajasthan,India,369564,2951,330172,36441
Sikkim,India,6410,136,6113,161
Tamil Nadu,India,940145,12927,880910,46308
Telangana,India,332581,1772,306678,24131
Tripura,India,33805,394,33113,298
Uttar Pradesh,India,705619,9224,614819,81576
Uttarakhand,India,110146,1767,100533,7846
West Bengal,India,619407,10414,582462,26531
