Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5466,64,5243,159
Andhra Pradesh,India,976987,7472,915626,53889
Arunachal Pradesh,India,17113,56,16835,222
Assam,India,227473,1145,217296,9032
Bihar,India,342059,1841,283863,56355
Chandigarh,India,35148,421,30768,3959
Chhattisgarh,India,574299,6274,442337,125688
Dadra and Nagar Haveli and Daman and Diu,India,5422,4,4047,1371
Delhi,India,905541,12638,807328,85575
Goa,India,69312,926,60145,8241
Gujarat,India,428178,5615,346063,76500
Haryana,India,371624,3483,318369,49772
Himachal Pradesh,India,79410,1219,68164,10027
Jammu and Kashmir,India,150238,2071,134697,13470
Jharkhand,India,172315,1547,137590,33178
Karnataka,India,1198644,13646,1025821,159177
Kerala,India,1272645,4978,1148671,118996
Ladakh,India,12556,134,10610,1812
Lakshadweep,India,1335,1,817,517
Madhya Pradesh,India,433704,4713,350720,78271
Maharashtra,India,3960359,61343,3213464,685552
Manipur,India,29869,378,29106,385
Meghalaya,India,15116,154,14105,857
Mizoram,India,5085,12,4569,504
Nagaland,India,12650,94,12299,257
Odisha,India,377464,1953,349377,26134
Puducherry,India,48974,717,43184,5073
Punjab,India,309316,8045,264562,36709
Rajasthan,India,438785,3268,349946,85571
Sikkim,India,6796,136,6172,488
Tamil Nadu,India,1013378,13205,920369,79804
Telangana,India,367901,1876,319537,46488
Tripura,India,34186,394,33231,561
Uttar Pradesh,India,909405,10159,675702,223544
Uttarakhand,India,129205,1919,106272,21014
West Bengal,India,678172,10652,609134,58386
