Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5665,66,5467,132
Andhra Pradesh,India,1033560,7685,936143,89732
Arunachal Pradesh,India,17607,58,16968,581
Assam,India,237533,1200,219516,16817
Bihar,India,403596,2155,314286,87155
Chandigarh,India,38692,435,33021,5236
Chhattisgarh,India,652362,7310,521217,123835
Dadra and Nagar Haveli and Daman and Diu,India,6580,4,4577,1999
Delhi,India,1027715,14248,918875,94592
Goa,India,77477,1017,62771,13689
Gujarat,India,496033,6328,374699,115006
Haryana,India,424319,3767,346304,74248
Himachal Pradesh,India,87501,1336,72588,13577
Jammu and Kashmir,India,160755,2147,139050,19558
Jharkhand,India,201747,1991,151651,48105
Karnataka,India,1339201,14426,1062594,262181
Kerala,India,1405655,5110,1181324,219221
Ladakh,India,13357,138,11192,2027
Lakshadweep,India,2126,1,947,1178
Madhya Pradesh,India,499304,5133,402623,91548
Maharashtra,India,4295027,64760,3530060,700207
Manipur,India,30421,385,29231,805
Meghalaya,India,15994,160,14446,1388
Mizoram,India,5410,13,4671,726
Nagaland,India,13183,98,12406,679
Odisha,India,407457,1988,362931,42538
Puducherry,India,53279,748,45243,7288
Punjab,India,339090,8432,282504,48154
Rajasthan,India,514437,3601,374134,136702
Sikkim,India,7306,138,6234,934
Tamil Nadu,India,1081988,13557,963251,105180
Telangana,India,401783,2042,334144,65597
Tripura,India,34627,394,33470,763
Uttar Pradesh,India,1086625,11165,777844,297616
Uttarakhand,India,151801,2146,113791,35864
West Bengal,India,743950,10941,644209,88800
