Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5084,62,4981,41
Andhra Pradesh,India,904548,7225,888508,8815
Arunachal Pradesh,India,16846,56,16785,5
Assam,India,218533,1107,215517,1909
Bihar,India,266677,1580,262733,2364
Chandigarh,India,27543,381,24064,3098
Chhattisgarh,India,357978,4247,321873,31858
Dadra and Nagar Haveli and Daman and Diu,India,3703,2,3499,202
Delhi,India,668814,11050,645770,11994
Goa,India,58584,832,55838,1914
Gujarat,India,312748,4539,294650,13559
Haryana,India,294270,3174,280074,11022
Himachal Pradesh,India,64420,1056,60026,3338
Jammu and Kashmir,India,131938,2003,126720,3215
Jharkhand,India,125585,1115,120562,3908
Karnataka,India,1006229,12591,959400,34238
Kerala,India,1129890,4646,1098526,26718
Ladakh,India,10189,130,9781,278
Lakshadweep,India,733,1,690,42
Madhya Pradesh,India,300834,4014,277484,19336
Maharashtra,India,2904076,55379,2457494,391203
Manipur,India,29406,374,28975,57
Meghalaya,India,14082,150,13868,64
Mizoram,India,4487,11,4436,40
Nagaland,India,12361,92,12138,131
Odisha,India,341772,1921,337430,2421
Puducherry,India,41941,684,39837,1420
Punjab,India,245768,6983,213327,25458
Rajasthan,India,335921,2824,322613,10484
Sikkim,India,6245,135,6064,46
Tamil Nadu,India,892780,12750,861424,18606
Telangana,India,310819,1712,302207,6900
Tripura,India,33523,392,33075,56
Uttar Pradesh,India,622736,8836,599827,14073
Uttarakhand,India,101275,1721,97150,2404
West Bengal,India,589922,10335,571895,7692
