Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5527,65,5309,153
Andhra Pradesh,India,997462,7541,922977,66944
Arunachal Pradesh,India,17296,56,16860,380
Assam,India,231069,1160,217991,11918
Bihar,India,365770,1956,293945,69869
Chandigarh,India,36404,427,31704,4273
Chhattisgarh,India,605568,6674,477339,121555
Dadra and Nagar Haveli and Daman and Diu,India,5910,4,4238,1668
Delhi,India,956348,13193,851537,91618
Goa,India,72224,964,61032,10228
Gujarat,India,453836,5877,355875,92084
Haryana,India,390989,3583,328809,58597
Himachal Pradesh,India,82876,1254,69763,11859
Jammu and Kashmir,India,154407,2092,136221,16094
Jharkhand,India,184951,1715,142294,40942
Karnataka,India,1247997,13885,1037857,196255
Kerala,India,1322054,5028,1160472,156554
Ladakh,India,12937,135,10761,2041
Lakshadweep,India,1671,1,867,803
Madhya Pradesh,India,459195,4863,369375,84957
Maharashtra,India,4094840,62479,3330747,701614
Manipur,India,30047,381,29153,513
Meghalaya,India,15488,157,14198,1133
Mizoram,India,5220,12,4600,608
Nagaland,India,12800,94,12322,384
Odisha,India,388479,1965,353551,32963
Puducherry,India,50580,726,43931,5923
Punjab,India,319719,8189,270946,40584
Rajasthan,India,467875,3389,357329,107157
Sikkim,India,6970,137,6193,640
Tamil Nadu,India,1037711,13317,934966,89428
Telangana,India,379494,1928,324840,52726
Tripura,India,34302,394,33345,563
Uttar Pradesh,India,976765,10541,706414,259810
Uttarakhand,India,138010,1972,109058,26980
West Bengal,India,700904,10766,621340,68798
