Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5421,64,5212,145
Andhra Pradesh,India,968000,7437,912510,48053
Arunachal Pradesh,India,17052,56,16820,176
Assam,India,225822,1142,217017,7663
Bihar,India,331604,1790,280286,49528
Chandigarh,India,34546,417,30325,3804
Chhattisgarh,India,558674,6083,423591,129000
Dadra and Nagar Haveli and Daman and Diu,India,5102,4,3962,1136
Delhi,India,877146,12361,787898,76887
Goa,India,68152,900,59705,7547
Gujarat,India,415972,5494,341724,68754
Haryana,India,363813,3448,315002,45363
Himachal Pradesh,India,78070,1203,67084,9783
Jammu and Kashmir,India,148208,2063,133981,12164
Jharkhand,India,167235,1502,135256,30477
Karnataka,India,1176850,13497,1021250,142103
Kerala,India,1253068,4950,1144791,103327
Ladakh,India,12306,133,10474,1699
Lakshadweep,India,1165,1,774,490
Madhya Pradesh,India,420977,4636,341783,74558
Maharashtra,India,3898262,60824,3159240,678198
Manipur,India,29775,377,29102,296
Meghalaya,India,14979,154,14071,754
Mizoram,India,4995,12,4546,437
Nagaland,India,12568,94,12285,189
Odisha,India,372703,1948,347637,23118
Puducherry,India,48336,713,42931,4692
Punjab,India,304660,7985,261364,35311
Rajasthan,India,426584,3204,346739,76641
Sikkim,India,6705,136,6165,404
Tamil Nadu,India,1002392,13157,914119,75116
Telangana,India,361359,1856,316650,42853
Tripura,India,34094,394,33194,506
Uttar Pradesh,India,879831,9997,661311,208523
Uttarakhand,India,126193,1892,105437,18864
West Bengal,India,668353,10606,604329,53418
