Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7394,127,7162,105
Andhra Pradesh,India,1844917,12269,1767404,65244
Arunachal Pradesh,India,32923,159,30163,2601
Assam,India,480730,4178,441184,35368
Bihar,India,719400,9543,706461,3396
Chandigarh,India,61403,806,60201,396
Chhattisgarh,India,990323,13377,967415,9531
Dadra and Nagar Haveli and Daman and Diu,India,10510,4,10432,74
Delhi,India,1432168,24907,1404889,2372
Goa,India,164229,2984,157772,3473
Gujarat,India,822149,10028,805542,6579
Haryana,India,767217,9216,755324,2677
Himachal Pradesh,India,200282,3439,193853,2990
Jammu and Kashmir,India,311209,4238,297557,9414
Jharkhand,India,344405,5099,337667,1639
Karnataka,India,2801936,33763,2637279,130894
Kerala,India,2797747,11948,2678499,107300
Ladakh,India,19783,201,19150,432
Lakshadweep,India,9430,46,9039,345
Madhya Pradesh,India,789174,8737,777995,2442
Maharashtra,India,5963420,117356,5710356,135708
Manipur,India,63538,1039,52961,9538
Meghalaya,India,44896,776,39377,4743
Mizoram,India,16750,76,12858,3816
Nagaland,India,24191,468,21744,1979
Odisha,India,873925,3550,835132,35243
Puducherry,India,114596,1720,109083,3793
Punjab,India,591762,15802,567883,8077
Rajasthan,India,950961,8891,938619,3451
Sikkim,India,19209,291,16167,2751
Tamil Nadu,India,2414680,31015,2304885,78780
Telangana,India,612196,3556,590072,18568
Tripura,India,62149,646,57086,4417
Uttar Pradesh,India,1704139,22132,1677050,4957
Uttarakhand,India,338508,7026,328262,3220
West Bengal,India,1479523,17295,1439215,23013
