Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7415,127,7191,97
Andhra Pradesh,India,1853183,12363,1782680,58140
Arunachal Pradesh,India,33375,159,30677,2539
Assam,India,485310,4243,448442,32625
Bihar,India,719939,9557,707365,3017
Chandigarh,India,61444,806,60327,311
Chhattisgarh,India,991171,13395,969212,8564
Dadra and Nagar Haveli and Daman and Diu,India,10516,4,10452,60
Delhi,India,1432381,24925,1405460,1996
Goa,India,164654,2997,158591,3066
Gujarat,India,822485,10034,806812,5639
Haryana,India,767580,9275,755968,2337
Himachal Pradesh,India,200603,3448,194747,2408
Jammu and Kashmir,India,312156,4262,300135,7759
Jharkhand,India,344665,5100,338076,1489
Karnataka,India,2811320,34025,2654139,123156
Kerala,India,2816843,12154,2704554,100135
Ladakh,India,19838,202,19271,365
Lakshadweep,India,9471,46,9106,319
Madhya Pradesh,India,789350,8786,778584,1980
Maharashtra,India,5979051,118313,5733215,127523
Manipur,India,64418,1055,54065,9298
Meghalaya,India,45555,785,40574,4196
Mizoram,India,17979,85,13667,4227
Nagaland,India,24374,475,22055,1844
Odisha,India,880533,3633,844801,32099
Puducherry,India,115080,1726,109990,3364
Punjab,India,592658,15854,570327,6477
Rajasthan,India,951256,8901,939664,2691
Sikkim,India,19321,293,16580,2448
Tamil Nadu,India,2429924,31386,2337209,61329
Telangana,India,614399,3576,593577,17246
Tripura,India,62745,654,58181,3910
Uttar Pradesh,India,1704476,22224,1678089,4163
Uttarakhand,India,338807,7044,328799,2964
West Bengal,India,1483586,17390,1443456,22740
