Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7335,127,7104,104
Andhra Pradesh,India,1832902,12167,1750904,69831
Arunachal Pradesh,India,32483,158,29612,2713
Assam,India,473453,4105,431208,38140
Bihar,India,718704,9527,705373,3804
Chandigarh,India,61310,802,60076,432
Chhattisgarh,India,989335,13361,965292,10682
Dadra and Nagar Haveli and Daman and Diu,India,10492,4,10417,71
Delhi,India,1431868,24886,1404428,2554
Goa,India,163612,2969,156819,3824
Gujarat,India,821659,10018,803892,7749
Haryana,India,766838,9147,754464,3227
Himachal Pradesh,India,199699,3424,192845,3430
Jammu and Kashmir,India,310017,4226,295189,10602
Jharkhand,India,344129,5095,337088,1946
Karnataka,India,2790338,33434,2610157,146747
Kerala,India,2773943,11743,2653207,108993
Ladakh,India,19704,200,19022,482
Lakshadweep,India,9377,45,8933,399
Madhya Pradesh,India,788954,8679,777291,2984
Maharashtra,India,5944710,116026,5685636,143048
Manipur,India,62343,1021,52220,9102
Meghalaya,India,43732,762,38361,4609
Mizoram,India,16437,75,12630,3732
Nagaland,India,24041,466,21207,2368
Odisha,India,866692,3471,823599,39622
Puducherry,India,113948,1710,107905,4333
Punjab,India,590556,15738,565339,9479
Rajasthan,India,950618,8875,937481,4262
Sikkim,India,18896,287,15702,2907
Tamil Nadu,India,2397864,30548,2266793,100523
Telangana,India,609417,3534,586362,19521
Tripura,India,61339,637,55829,4873
Uttar Pradesh,India,1703733,22030,1675684,6019
Uttarakhand,India,338066,7011,327584,3471
West Bengal,India,1474249,17182,1434994,22073
