Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7154,125,6935,94
Andhra Pradesh,India,1771007,11629,1651790,107588
Arunachal Pradesh,India,30000,126,26569,3305
Assam,India,442694,3738,388451,50505
Bihar,India,714590,5458,701234,7898
Chandigarh,India,60778,779,59314,685
Chhattisgarh,India,982962,13257,950234,19471
Dadra and Nagar Haveli and Daman and Diu,India,10427,4,10262,161
Delhi,India,1429791,24668,1400161,4962
Goa,India,160284,2859,151526,5899
Gujarat,India,817707,9955,793028,14724
Haryana,India,763566,8789,747246,7531
Himachal Pradesh,India,196351,3328,186040,6983
Jammu and Kashmir,India,302651,4101,276733,21817
Jharkhand,India,342179,5073,332007,5099
Karnataka,India,2717289,32099,2460165,225025
Kerala,India,2657962,10281,2504011,143670
Ladakh,India,19330,195,18194,941
Lakshadweep,India,8874,42,7942,890
Madhya Pradesh,India,786302,8405,769914,7983
Maharashtra,India,5852891,101172,5580925,170794
Manipur,India,56576,908,46527,9141
Meghalaya,India,39535,678,33933,4924
Mizoram,India,14196,57,10769,3370
Nagaland,India,23051,432,17943,4676
Odisha,India,825110,3080,756641,65389
Puducherry,India,110106,1644,101315,7147
Punjab,India,582081,15219,548316,18546
Rajasthan,India,947504,8719,925161,13624
Sikkim,India,17425,275,13132,4018
Tamil Nadu,India,2274704,27765,2028344,218595
Telangana,India,595000,3409,567285,24306
Tripura,India,56794,577,50440,5777
Uttar Pradesh,India,1699787,21425,1664295,14067
Uttarakhand,India,334965,6797,316283,11885
West Bengal,India,1437446,16460,1401061,19925
