Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7363,127,7128,108
Andhra Pradesh,India,1839243,12224,1759390,67629
Arunachal Pradesh,India,32692,159,29934,2599
Assam,India,477159,4138,436043,36978
Bihar,India,719051,9536,705967,3548
Chandigarh,India,61358,804,60123,431
Chhattisgarh,India,989844,13368,966414,10062
Dadra and Nagar Haveli and Daman and Diu,India,10500,4,10425,71
Delhi,India,1432033,24900,1404688,2445
Goa,India,163927,2975,157353,3599
Gujarat,India,821921,10023,804668,7230
Haryana,India,767047,9183,754924,2940
Himachal Pradesh,India,200043,3429,193421,3193
Jammu and Kashmir,India,310688,4234,296360,10094
Jharkhand,India,344270,5097,337362,1811
Karnataka,India,2796121,33602,2625447,137072
Kerala,India,2785304,11833,2665354,108117
Ladakh,India,19730,200,19097,433
Lakshadweep,India,9392,45,9000,347
Madhya Pradesh,India,789064,8707,777630,2727
Maharashtra,India,5954508,116674,5699983,137851
Manipur,India,62946,1033,52667,9246
Meghalaya,India,44382,771,38792,4819
Mizoram,India,16750,76,12858,3816
Nagaland,India,24097,467,21571,2059
Odisha,India,870498,3508,829851,37139
Puducherry,India,114301,1714,108462,4125
Punjab,India,591168,15771,566568,8829
Rajasthan,India,950768,8884,938101,3783
Sikkim,India,19058,290,15868,2900
Tamil Nadu,India,2406497,30835,2286653,89009
Telangana,India,610834,3546,588259,19029
Tripura,India,61782,642,56425,4715
Uttar Pradesh,India,1703882,22081,1676458,5343
Uttarakhand,India,338288,7017,328040,3231
West Bengal,India,1477037,17240,1437106,22691
