Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7466,128,7296,42
Andhra Pradesh,India,1885716,12671,1832971,40074
Arunachal Pradesh,India,35571,168,32716,2687
Assam,India,506005,4509,474457,27039
Bihar,India,721654,9584,710238,1832
Chandigarh,India,61656,808,60685,163
Chhattisgarh,India,994077,13438,974725,5914
Dadra and Nagar Haveli and Daman and Diu,India,10555,4,10507,44
Delhi,India,1434094,24971,1407592,1531
Goa,India,166449,3048,161160,2241
Gujarat,India,823433,10056,810147,3230
Haryana,India,768552,9417,757640,1495
Himachal Pradesh,India,201980,3477,196849,1654
Jammu and Kashmir,India,315298,4316,306177,4805
Jharkhand,India,345525,5113,339463,949
Karnataka,India,2840428,34929,2719479,86020
Kerala,India,2910507,13093,2797779,99635
Ladakh,India,20038,202,19565,271
Lakshadweep,India,9742,48,9388,306
Madhya Pradesh,India,789771,8954,780187,630
Maharashtra,India,6051633,121804,5809548,120281
Manipur,India,69198,1141,62134,5923
Meghalaya,India,49161,831,44067,4263
Mizoram,India,20075,92,15512,4471
Nagaland,India,25111,493,23237,1381
Odisha,India,906429,3970,874307,28152
Puducherry,India,116985,1748,112892,2345
Punjab,India,595351,16033,575971,3347
Rajasthan,India,952322,8918,941839,1565
Sikkim,India,20324,305,17954,2065
Tamil Nadu,India,2475190,32506,2403349,39335
Telangana,India,622593,3651,605455,13487
Tripura,India,65770,677,61513,3580
Uttar Pradesh,India,1705951,22577,1680428,2946
Uttarakhand,India,339933,7095,330593,2245
West Bengal,India,1498305,17679,1459510,21116
