Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7530,129,7387,14
Andhra Pradesh,India,1956392,13273,1921371,21748
Arunachal Pradesh,India,46357,218,41820,4319
Assam,India,560019,5162,539928,14929
Bihar,India,724530,9639,714423,468
Chandigarh,India,61931,809,61086,36
Chhattisgarh,India,1001359,13517,985324,2518
Dadra and Nagar Haveli and Daman and Diu,India,10637,4,10588,45
Delhi,India,1435949,25044,1410368,537
Goa,India,170581,3136,166308,1137
Gujarat,India,824744,10076,814356,312
Haryana,India,769770,9622,759437,711
Himachal Pradesh,India,205200,3516,200826,858
Jammu and Kashmir,India,320759,4375,315184,1200
Jharkhand,India,346983,5124,341613,246
Karnataka,India,2896163,36405,2836678,23080
Kerala,India,3283116,16170,3129628,137318
Ladakh,India,20309,207,20032,70
Lakshadweep,India,10141,49,10010,82
Madhya Pradesh,India,791756,10512,781104,140
Maharashtra,India,6269799,131605,6046106,92088
Manipur,India,93656,1487,81645,10524
Meghalaya,India,61763,1031,55648,5084
Mizoram,India,33452,137,23811,9504
Nagaland,India,27362,545,25561,1256
Odisha,India,969185,5574,947381,16230
Puducherry,India,120417,1790,117718,909
Punjab,India,598840,16278,581925,637
Rajasthan,India,953560,8952,944310,298
Sikkim,India,25339,331,22038,2970
Tamil Nadu,India,2550282,33937,2493583,22762
Telangana,India,641791,3787,628679,9325
Tripura,India,76997,747,72566,3684
Uttar Pradesh,India,1708208,22750,1684601,857
Uttarakhand,India,341778,7359,333781,638
West Bengal,India,1524296,18085,1494645,11566
