Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7531,129,7395,7
Andhra Pradesh,India,1959942,13312,1925631,20999
Arunachal Pradesh,India,47142,224,42617,4301
Assam,India,562731,5201,543031,14499
Bihar,India,724673,9639,714554,480
Chandigarh,India,61943,809,61098,36
Chhattisgarh,India,1001651,13520,985905,2226
Dadra and Nagar Haveli and Daman and Diu,India,10642,4,10597,41
Delhi,India,1436093,25049,1410471,573
Goa,India,170810,3142,166586,1082
Gujarat,India,824802,10076,814452,274
Haryana,India,769828,9627,759499,702
Himachal Pradesh,India,205499,3520,201026,953
Jammu and Kashmir,India,321026,4376,315511,1139
Jharkhand,India,347049,5126,341686,237
Karnataka,India,2899195,36456,2840147,22592
Kerala,India,3327301,16457,3160804,150040
Ladakh,India,20320,207,20049,64
Lakshadweep,India,10155,50,10029,76
Madhya Pradesh,India,791778,10513,781135,130
Maharashtra,India,6282914,132145,6064856,85913
Manipur,India,95824,1510,83392,10922
Meghalaya,India,63014,1048,56510,5456
Mizoram,India,36407,140,24657,11610
Nagaland,India,27586,552,25684,1350
Odisha,India,972517,5703,951049,15765
Puducherry,India,120627,1792,117912,923
Punjab,India,598947,16286,582102,559
Rajasthan,India,953605,8953,944384,268
Sikkim,India,25856,333,22406,3117
Tamil Nadu,India,2553805,33995,2498289,21521
Telangana,India,643093,3793,629986,9314
Tripura,India,77788,750,73177,3861
Uttar Pradesh,India,1708313,22755,1684790,768
Uttarakhand,India,341934,7361,333901,672
West Bengal,India,1525773,18109,1496294,11370
