Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7518,129,7370,19
Andhra Pradesh,India,1944222,13178,1907201,23843
Arunachal Pradesh,India,43804,203,39269,4332
Assam,India,550878,5029,528252,17597
Bihar,India,724081,9632,713815,634
Chandigarh,India,61907,809,61056,42
Chhattisgarh,India,1000358,13504,983520,3334
Dadra and Nagar Haveli and Daman and Diu,India,10612,4,10581,27
Delhi,India,1435609,25035,1410005,569
Goa,India,169971,3113,165449,1409
Gujarat,India,824546,10076,814059,411
Haryana,India,769605,9608,759213,784
Himachal Pradesh,India,204618,3507,200154,957
Jammu and Kashmir,India,320112,4371,314107,1634
Jharkhand,India,346778,5122,341336,320
Karnataka,India,2886702,36226,2824197,26279
Kerala,India,3187716,15512,3045310,126894
Ladakh,India,20278,206,19978,94
Lakshadweep,India,10092,49,9969,74
Madhya Pradesh,India,791689,10512,780987,190
Maharashtra,India,6229596,130753,6000911,97932
Manipur,India,86723,1409,75247,10067
Meghalaya,India,58275,968,53263,4044
Mizoram,India,29020,126,22061,6833
Nagaland,India,26838,532,25146,1160
Odisha,India,958059,5172,935007,17880
Puducherry,India,119823,1781,117054,988
Punjab,India,598455,16244,581312,899
Rajasthan,India,953415,8951,944073,391
Sikkim,India,23796,325,21009,2462
Tamil Nadu,India,2539277,33782,2478778,26717
Telangana,India,638030,3766,624477,9787
Tripura,India,74846,731,69770,4345
Uttar Pradesh,India,1707953,22737,1684123,1093
Uttarakhand,India,341536,7357,333559,620
West Bengal,India,1519599,18021,1489069,12509
