Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7492,128,7352,12
Andhra Pradesh,India,1917253,12960,1873993,30300
Arunachal Pradesh,India,39085,186,35342,3557
Assam,India,529693,4788,501869,23036
Bihar,India,723060,9614,712427,1019
Chandigarh,India,61811,809,60901,101
Chhattisgarh,India,997426,13472,978961,4993
Dadra and Nagar Haveli and Daman and Diu,India,10580,4,10553,23
Delhi,India,1434954,25011,1409145,798
Goa,India,168430,3088,163347,1995
Gujarat,India,824147,10073,812718,1356
Haryana,India,769205,9534,758678,993
Himachal Pradesh,India,203425,3487,198579,1359
Jammu and Kashmir,India,318284,4354,310630,3300
Jharkhand,India,346223,5119,340655,449
Karnataka,India,2867158,35731,2793498,37929
Kerala,India,3039029,14380,2911054,113595
Ladakh,India,20167,206,19830,131
Lakshadweep,India,10002,49,9729,224
Madhya Pradesh,India,790125,9024,780695,406
Maharashtra,India,6140968,125034,5900440,115494
Manipur,India,76032,1251,68171,6610
Meghalaya,India,53670,899,48380,4391
Mizoram,India,23551,103,19124,4324
Nagaland,India,25787,507,24305,975
Odisha,India,935136,4476,906519,24141
Puducherry,India,118697,1768,115234,1695
Punjab,India,597347,16168,579370,1809
Rajasthan,India,953018,8943,943260,815
Sikkim,India,21965,312,19476,2177
Tamil Nadu,India,2513098,33322,2446552,33224
Telangana,India,630514,3720,615852,10942
Tripura,India,69961,712,65095,4154
Uttar Pradesh,India,1707127,22689,1682741,1697
Uttarakhand,India,341088,7338,332431,1319
West Bengal,India,1510208,17886,1476632,15690
