Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,7501,129,7359,13
Andhra Pradesh,India,1932105,13081,1893498,25526
Arunachal Pradesh,India,41646,197,37272,4177
Assam,India,542445,4937,517041,20467
Bihar,India,723695,9625,713273,797
Chandigarh,India,61856,809,60980,67
Chhattisgarh,India,999150,13489,981645,4016
Dadra and Nagar Haveli and Daman and Diu,India,10591,4,10565,22
Delhi,India,1435353,25022,1409660,671
Goa,India,169341,3102,164460,1779
Gujarat,India,824384,10074,813673,637
Haryana,India,769417,9578,759001,838
Himachal Pradesh,India,204098,3502,199446,1150
Jammu and Kashmir,India,319355,4361,312890,2104
Jharkhand,India,346533,5120,341077,336
Karnataka,India,2878564,36037,2810121,32406
Kerala,India,3117083,15025,2982545,119513
Ladakh,India,20234,206,19920,108
Lakshadweep,India,10043,49,9905,89
Madhya Pradesh,India,791614,10510,780851,253
Maharashtra,India,6189257,126560,5952192,110505
Manipur,India,81560,1340,71662,8558
Meghalaya,India,56052,926,51132,3994
Mizoram,India,26207,117,20478,5612
Nagaland,India,26381,516,24815,1050
Odisha,India,947859,4861,923209,19789
Puducherry,India,119405,1773,116325,1307
Punjab,India,598027,16212,580483,1332
Rajasthan,India,953257,8947,943788,522
Sikkim,India,22929,318,20289,2322
Tamil Nadu,India,2528806,33606,2465250,29950
Telangana,India,634605,3747,620757,10101
Tripura,India,72860,722,67455,4683
Uttar Pradesh,India,1707655,22705,1683551,1399
Uttarakhand,India,341362,7354,333316,692
West Bengal,India,1515599,17970,1483992,13637
