Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,4994,62,4932,0
Andhra Pradesh,India,888004,7156,879651,1197
Arunachal Pradesh,India,16829,56,16762,11
Assam,India,217161,1083,214285,1793
Bihar,India,259781,1505,257474,802
Chandigarh,India,20979,335,20462,182
Chhattisgarh,India,306019,3711,298135,4173
Dadra and Nagar Haveli and Daman and Diu,India,3398,2,3392,4
Delhi,India,635331,10858,623256,1217
Goa,India,53575,768,52039,768
Gujarat,India,262123,4389,254531,3203
Haryana,India,268067,3023,263989,1055
Himachal Pradesh,India,57587,980,56242,365
Jammu and Kashmir,India,124594,1938,121988,668
Jharkhand,India,118793,1075,117229,489
Karnataka,India,940170,12223,922004,5943
Kerala,India,938353,3776,865168,69409
Ladakh,India,9726,130,9530,66
Lakshadweep,India,119,0,56,63
Madhya Pradesh,India,255431,3815,249193,2423
Maharashtra,India,2030274,51139,1936305,42830
Manipur,India,29077,371,28568,138
Meghalaya,India,13768,147,13565,56
Mizoram,India,4376,9,4334,33
Nagaland,India,12101,88,11958,55
Odisha,India,335211,1906,332377,928
Puducherry,India,39123,651,38186,286
Punjab,India,173674,5628,165924,2122
Rajasthan,India,317674,2768,313108,1798
Sikkim,India,6096,135,5876,85
Tamil Nadu,India,839352,12367,822468,4517
Telangana,India,294924,1604,291312,2008
Tripura,India,33351,391,32945,15
Uttar Pradesh,India,600642,8668,586967,5007
Uttarakhand,India,96227,1651,93533,1043
West Bengal,India,570380,10188,554887,5305
