Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5020,62,4952,6
Andhra Pradesh,India,889916,7169,882029,718
Arunachal Pradesh,India,16836,56,16780,0
Assam,India,217537,1092,214830,1615
Bihar,India,262534,1541,260594,399
Chandigarh,India,21770,352,21037,381
Chhattisgarh,India,312560,3835,305951,2774
Dadra and Nagar Haveli and Daman and Diu,India,3406,2,3400,4
Delhi,India,639289,10910,627044,1335
Goa,India,54986,795,53585,606
Gujarat,India,269889,4410,263116,2363
Haryana,India,270784,3048,266461,1275
Himachal Pradesh,India,58645,995,57332,318
Jammu and Kashmir,India,126441,1957,123661,823
Jharkhand,India,119949,1090,118365,494
Karnataka,India,951251,12331,933097,5823
Kerala,India,1059403,4197,1005497,49709
Ladakh,India,9818,130,9635,53
Lakshadweep,India,382,1,261,120
Madhya Pradesh,India,261766,3864,255117,2785
Maharashtra,India,2155070,52154,2024704,78212
Manipur,India,29273,373,28867,33
Meghalaya,India,13962,148,13797,17
Mizoram,India,4423,10,4388,25
Nagaland,India,12200,91,12102,7
Odisha,India,337191,1916,334571,704
Puducherry,India,39725,668,38872,185
Punjab,India,182176,5832,171712,4632
Rajasthan,India,320336,2787,316241,1308
Sikkim,India,6145,135,5964,46
Tamil Nadu,India,851542,12496,835024,4022
Telangana,India,298923,1634,295387,1902
Tripura,India,33417,391,32987,39
Uttar Pradesh,India,603527,8725,592699,2103
Uttarakhand,India,97031,1692,94850,489
West Bengal,India,575118,10268,561543,3307
