Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5001,62,4932,7
Andhra Pradesh,India,888423,7159,880261,1003
Arunachal Pradesh,India,16830,56,16767,7
Assam,India,217210,1084,214447,1679
Bihar,India,260270,1516,258221,533
Chandigarh,India,21107,340,20598,169
Chhattisgarh,India,307525,3741,299494,4290
Dadra and Nagar Haveli and Daman and Diu,India,3398,2,3395,1
Delhi,India,636035,10879,624044,1112
Goa,India,53880,772,52347,761
Gujarat,India,263444,4395,256670,2379
Haryana,India,268431,3029,264519,883
Himachal Pradesh,India,57896,984,56448,464
Jammu and Kashmir,India,124909,1944,122335,630
Jharkhand,India,119017,1078,117508,431
Karnataka,India,942518,12236,924304,5978
Kerala,India,968438,3867,896668,67903
Ladakh,India,9747,130,9545,72
Lakshadweep,India,153,0,65,88
Madhya Pradesh,India,256398,3820,250537,2041
Maharashtra,India,2044071,51310,1955548,37213
Manipur,India,29126,373,28654,99
Meghalaya,India,13885,147,13601,137
Mizoram,India,4383,9,4350,24
Nagaland,India,12158,88,11975,95
Odisha,India,335620,1909,332948,763
Puducherry,India,39292,654,38326,312
Punjab,India,174646,5642,166828,2176
Rajasthan,India,318193,2772,313957,1464
Sikkim,India,6110,135,5905,70
Tamil Nadu,India,841797,12383,825025,4389
Telangana,India,295682,1611,292229,1842
Tripura,India,33352,391,32953,8
Uttar Pradesh,India,601385,8687,588818,3880
Uttarakhand,India,96493,1668,93913,912
West Bengal,India,571371,10207,556370,4794
