Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5007,62,4932,13
Andhra Pradesh,India,888555,7160,880478,917
Arunachal Pradesh,India,16831,56,16771,4
Assam,India,217256,1086,214490,1680
Bihar,India,261092,1518,259074,500
Chandigarh,India,21154,342,20644,168
Chhattisgarh,India,307996,3746,300078,4172
Dadra and Nagar Haveli and Daman and Diu,India,3398,2,3396,0
Delhi,India,636260,10882,624326,1052
Goa,India,53996,774,52530,692
Gujarat,India,263910,4397,257473,2040
Haryana,India,268600,3033,264713,854
Himachal Pradesh,India,57993,987,56551,455
Jammu and Kashmir,India,125007,1944,122470,593
Jharkhand,India,119116,1078,117574,464
Karnataka,India,943212,12241,925167,5804
Kerala,India,977394,3902,909102,64390
Ladakh,India,9758,130,9569,59
Lakshadweep,India,166,0,93,73
Madhya Pradesh,India,256758,3825,250946,1987
Maharashtra,India,2048802,51360,1961525,35917
Manipur,India,29137,373,28687,77
Meghalaya,India,13893,148,13608,137
Mizoram,India,4388,9,4358,21
Nagaland,India,12166,88,11990,88
Odisha,India,335797,1910,333139,748
Puducherry,India,39353,655,38391,307
Punjab,India,175023,5661,167285,2077
Rajasthan,India,318384,2774,314175,1435
Sikkim,India,6110,135,5912,63
Tamil Nadu,India,842730,12391,826011,4328
Telangana,India,295988,1613,292578,1797
Tripura,India,33353,391,32955,7
Uttar Pradesh,India,601562,8691,589565,3306
Uttarakhand,India,96590,1673,94127,790
West Bengal,India,571636,10215,556925,4496
