Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5007,62,4932,13
Andhra Pradesh,India,888605,7161,880599,845
Arunachal Pradesh,India,16831,56,16771,4
Assam,India,217267,1086,214507,1674
Bihar,India,261511,1520,259234,757
Chandigarh,India,21171,343,20670,158
Chhattisgarh,India,308218,3755,300390,4073
Dadra and Nagar Haveli and Daman and Diu,India,3398,2,3396,0
Delhi,India,636387,10884,624326,1177
Goa,India,54068,776,52594,698
Gujarat,India,264165,4397,257968,1800
Haryana,India,268677,3033,264820,824
Himachal Pradesh,India,58076,988,56600,488
Jammu and Kashmir,India,125052,1945,122502,605
Jharkhand,India,119161,1081,117616,464
Karnataka,India,943627,12244,925489,5894
Kerala,India,983374,3920,914847,64607
Ladakh,India,9762,130,9572,60
Lakshadweep,India,181,0,118,63
Madhya Pradesh,India,256899,3827,251121,1951
Maharashtra,India,2052253,51390,1963946,36917
Manipur,India,29148,373,28726,49
Meghalaya,India,13924,148,13612,164
Mizoram,India,4390,9,4359,22
Nagaland,India,12168,88,11993,87
Odisha,India,335889,1910,333220,759
Puducherry,India,39372,656,38423,293
Punjab,India,175252,5675,167465,2112
Rajasthan,India,318491,2777,314264,1450
Sikkim,India,6111,135,5916,60
Tamil Nadu,India,843209,12396,826504,4309
Telangana,India,296134,1613,292696,1825
Tripura,India,33353,391,32957,5
Uttar Pradesh,India,601723,8696,589771,3256
Uttarakhand,India,96625,1673,94240,712
West Bengal,India,571815,10220,557208,4387
