Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5016,62,4950,4
Andhra Pradesh,India,889503,7168,881732,603
Arunachal Pradesh,India,16836,56,16776,4
Assam,India,217454,1091,214757,1606
Bihar,India,262357,1538,260310,509
Chandigarh,India,21541,351,20940,250
Chhattisgarh,India,311680,3813,304956,2911
Dadra and Nagar Haveli and Daman and Diu,India,3404,2,3398,4
Delhi,India,638373,10905,626331,1137
Goa,India,54700,789,53416,495
Gujarat,India,268147,4407,261871,1869
Haryana,India,270097,3043,266099,955
Himachal Pradesh,India,58457,995,57233,229
Jammu and Kashmir,India,126093,1955,123367,771
Jharkhand,India,119719,1087,118201,431
Karnataka,India,949183,12309,930778,6096
Kerala,India,1045009,4136,987720,53153
Ladakh,India,9807,130,9624,53
Lakshadweep,India,322,0,236,86
Madhya Pradesh,India,260313,3857,254186,2270
Maharashtra,India,2121119,51937,2008623,60559
Manipur,India,29250,373,28836,41
Meghalaya,India,13958,148,13792,18
Mizoram,India,4413,10,4380,23
Nagaland,India,12192,91,12093,8
Odisha,India,336835,1914,334333,588
Puducherry,India,39656,666,38801,189
Punjab,India,179819,5786,170435,3598
Rajasthan,India,319801,2785,315812,1204
Sikkim,India,6132,135,5950,47
Tamil Nadu,India,849629,12478,833089,4062
Telangana,India,298264,1630,294782,1852
Tripura,India,33400,391,32984,25
Uttar Pradesh,India,603103,8721,592192,2190
Uttarakhand,India,97031,1690,94850,491
West Bengal,India,574301,10256,560668,3377
