Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5009,62,4938,9
Andhra Pradesh,India,888899,7163,881041,695
Arunachal Pradesh,India,16833,56,16774,3
Assam,India,217304,1089,214601,1614
Bihar,India,261785,1527,259670,588
Chandigarh,India,21264,346,20789,129
Chhattisgarh,India,309373,3777,302557,3039
Dadra and Nagar Haveli and Daman and Diu,India,3400,2,3396,2
Delhi,India,637087,10893,625158,1036
Goa,India,54275,781,52969,525
Gujarat,India,265493,4401,259384,1708
Haryana,India,269154,3039,265212,903
Himachal Pradesh,India,58243,994,56851,398
Jammu and Kashmir,India,125405,1951,122837,617
Jharkhand,India,119354,1084,117806,464
Karnataka,India,945638,12267,927580,5791
Kerala,India,1007019,3998,941471,61550
Ladakh,India,9773,130,9595,48
Lakshadweep,India,234,0,143,91
Madhya Pradesh,India,257849,3838,252164,1847
Maharashtra,India,2067643,51552,1978708,37383
Manipur,India,29204,373,28755,76
Meghalaya,India,13942,148,13666,128
Mizoram,India,4395,10,4367,18
Nagaland,India,12189,88,12043,58
Odisha,India,336262,1911,333637,714
Puducherry,India,39468,658,38574,236
Punjab,India,176520,5707,168456,2357
Rajasthan,India,319005,2781,314859,1365
Sikkim,India,6118,135,5929,54
Tamil Nadu,India,845575,12425,828918,4232
Telangana,India,296802,1619,293540,1643
Tripura,India,33353,391,32960,2
Uttar Pradesh,India,602248,8704,590570,2974
Uttarakhand,India,96867,1680,94572,615
West Bengal,India,572728,10233,558535,3960
