Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5009,62,4938,9
Andhra Pradesh,India,888814,7162,880855,797
Arunachal Pradesh,India,16832,56,16772,4
Assam,India,217288,1087,214570,1631
Bihar,India,261690,1524,259513,653
Chandigarh,India,21220,345,20752,123
Chhattisgarh,India,308930,3771,301904,3255
Dadra and Nagar Haveli and Daman and Diu,India,3400,2,3396,2
Delhi,India,636796,10889,624866,1041
Goa,India,54193,778,52831,584
Gujarat,India,264997,4400,258834,1763
Haryana,India,268969,3039,265085,845
Himachal Pradesh,India,58201,992,56685,524
Jammu and Kashmir,India,125268,1949,122703,616
Jharkhand,India,119283,1082,117749,452
Karnataka,India,944856,12263,926664,5929
Kerala,India,999523,3970,931706,63847
Ladakh,India,9765,130,9586,49
Lakshadweep,India,224,0,134,90
Madhya Pradesh,India,257423,3829,251765,1829
Maharashtra,India,2060186,51489,1974248,34449
Manipur,India,29183,373,28744,66
Meghalaya,India,13937,148,13623,166
Mizoram,India,4392,9,4363,20
Nagaland,India,12183,88,12019,76
Odisha,India,336101,1910,333451,740
Puducherry,India,39440,656,38500,284
Punjab,India,176064,5694,168035,2335
Rajasthan,India,318820,2781,314630,1409
Sikkim,India,6116,135,5922,59
Tamil Nadu,India,844650,12413,827962,4275
Telangana,India,296574,1616,293210,1748
Tripura,India,33353,391,32960,2
Uttar Pradesh,India,602089,8699,590292,3098
Uttarakhand,India,96766,1680,94449,637
West Bengal,India,572405,10230,558015,4160
