Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5030,62,4964,4
Andhra Pradesh,India,891563,7182,883113,1268
Arunachal Pradesh,India,16840,56,16781,3
Assam,India,217780,1098,215063,1619
Bihar,India,262974,1550,261092,332
Chandigarh,India,22976,358,21586,1032
Chhattisgarh,India,316854,3886,309198,3770
Dadra and Nagar Haveli and Daman and Diu,India,3435,2,3405,28
Delhi,India,643289,10939,630143,2207
Goa,India,55851,805,54279,767
Gujarat,India,277397,4422,268775,4200
Haryana,India,274697,3073,268672,2952
Himachal Pradesh,India,59597,1004,57848,745
Jammu and Kashmir,India,127535,1974,124680,881
Jharkhand,India,120567,1093,118959,515
Karnataka,India,959338,12387,938890,8061
Kerala,India,1089478,4381,1053859,31238
Ladakh,India,9847,130,9686,31
Lakshadweep,India,603,1,394,208
Madhya Pradesh,India,267851,3885,259454,4512
Maharashtra,India,2297793,52811,2125211,119771
Manipur,India,29311,373,28911,27
Meghalaya,India,13992,148,13818,26
Mizoram,India,4436,10,4416,10
Nagaland,India,12225,91,12120,14
Odisha,India,338121,1918,335569,634
Puducherry,India,40015,670,39154,191
Punjab,India,196263,6052,179295,10916
Rajasthan,India,322719,2789,317601,2329
Sikkim,India,6184,135,6002,47
Tamil Nadu,India,858967,12543,841762,4662
Telangana,India,301161,1653,297515,1993
Tripura,India,33429,391,33026,12
Uttar Pradesh,India,605112,8745,594550,1817
Uttarakhand,India,97754,1702,95469,583
West Bengal,India,578064,10288,564637,3139
