Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5046,62,4976,8
Andhra Pradesh,India,898815,7205,886216,5394
Arunachal Pradesh,India,16845,56,16785,4
Assam,India,218270,1104,215366,1800
Bihar,India,264955,1572,262036,1347
Chandigarh,India,26194,377,23184,2633
Chhattisgarh,India,340093,4076,316778,19239
Dadra and Nagar Haveli and Daman and Diu,India,3607,2,3458,147
Delhi,India,657715,11006,639164,7545
Goa,India,57584,826,55354,1404
Gujarat,India,300866,4492,284846,11528
Haryana,India,287719,3141,275458,9120
Himachal Pradesh,India,62660,1036,59146,2478
Jammu and Kashmir,India,129993,1989,126003,2001
Jharkhand,India,122935,1110,119954,1871
Karnataka,India,987012,12504,951452,23056
Kerala,India,1117993,4579,1088522,24892
Ladakh,India,9974,130,9736,108
Lakshadweep,India,715,1,657,57
Madhya Pradesh,India,288683,3958,270540,14185
Maharashtra,India,2713875,54181,2332453,327241
Manipur,India,29385,374,28948,63
Meghalaya,India,14032,150,13856,26
Mizoram,India,4465,11,4428,26
Nagaland,India,12230,92,12134,4
Odisha,India,340194,1920,336691,1583
Puducherry,India,41101,680,39521,900
Punjab,India,231734,6690,201127,23917
Rajasthan,India,330676,2813,320704,7159
Sikkim,India,6227,135,6048,44
Tamil Nadu,India,879473,12670,853733,13070
Telangana,India,306742,1690,300469,4583
Tripura,India,33491,392,33052,47
Uttar Pradesh,India,613798,8786,597320,7692
Uttarakhand,India,99881,1709,96512,1660
West Bengal,India,584666,10324,569366,4976
