Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5038,62,4969,7
Andhra Pradesh,India,893366,7189,884094,2083
Arunachal Pradesh,India,16842,56,16783,3
Assam,India,217951,1100,215201,1650
Bihar,India,263443,1557,261413,473
Chandigarh,India,24220,361,22142,1717
Chhattisgarh,India,323153,3940,311520,7693
Dadra and Nagar Haveli and Daman and Diu,India,3471,2,3425,44
Delhi,India,647161,10955,632797,3409
Goa,India,56525,815,54713,997
Gujarat,India,285429,4443,274249,6737
Haryana,India,278961,3093,271038,4830
Himachal Pradesh,India,60537,1017,58321,1199
Jammu and Kashmir,India,128389,1980,125218,1191
Jharkhand,India,121178,1095,119361,722
Karnataka,India,968487,12432,943208,12847
Kerala,India,1102353,4482,1072554,25317
Ladakh,India,9906,130,9703,73
Lakshadweep,India,648,1,511,136
Madhya Pradesh,India,274405,3903,263158,7344
Maharashtra,India,2449147,53300,2203553,192294
Manipur,India,29332,373,28931,28
Meghalaya,India,14012,149,13835,28
Mizoram,India,4447,11,4421,15
Nagaland,India,12225,91,12132,2
Odisha,India,338719,1918,336066,735
Puducherry,India,40322,674,39521,127
Punjab,India,210466,6280,187198,16988
Rajasthan,India,324948,2796,318842,3310
Sikkim,India,6204,135,6016,53
Tamil Nadu,India,865693,12590,845812,7291
Telangana,India,303118,1669,298645,2804
Tripura,India,33464,391,33043,30
Uttar Pradesh,India,607050,8758,595518,2774
Uttarakhand,India,98311,1704,95851,756
West Bengal,India,580209,10303,566526,3380
