Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5028,62,4960,6
Andhra Pradesh,India,891004,7177,882763,1064
Arunachal Pradesh,India,16840,56,16780,4
Assam,India,217726,1096,214997,1633
Bihar,India,262864,1548,261013,303
Chandigarh,India,22589,357,21416,816
Chhattisgarh,India,315486,3872,308269,3345
Dadra and Nagar Haveli and Daman and Diu,India,3426,2,3404,20
Delhi,India,642030,10931,629199,1900
Goa,India,55607,802,54130,675
Gujarat,India,275197,4418,267250,3529
Haryana,India,273446,3064,267942,2440
Himachal Pradesh,India,59347,1003,57745,599
Jammu and Kashmir,India,127288,1968,124421,899
Jharkhand,India,120436,1093,118823,520
Karnataka,India,956801,12379,936947,7475
Kerala,India,1083530,4342,1043473,35715
Ladakh,India,9838,130,9669,39
Lakshadweep,India,524,1,355,168
Madhya Pradesh,India,266043,3877,258251,3915
Maharashtra,India,2252057,52610,2099207,100240
Manipur,India,29305,373,28897,35
Meghalaya,India,13983,148,13816,19
Mizoram,India,4434,10,4415,9
Nagaland,India,12217,91,12116,10
Odisha,India,337929,1917,335322,690
Puducherry,India,39932,670,39083,179
Punjab,India,192040,5978,176660,9402
Rajasthan,India,322078,2789,317257,2032
Sikkim,India,6178,135,5994,49
Tamil Nadu,India,856917,12530,840180,4207
Telangana,India,300536,1649,297032,1855
Tripura,India,33425,391,33016,18
Uttar Pradesh,India,604648,8740,594219,1689
Uttarakhand,India,97565,1697,95268,600
West Bengal,India,577267,10283,563857,3127
