Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5020,62,4952,6
Andhra Pradesh,India,889974,7169,882080,725
Arunachal Pradesh,India,16837,56,16780,1
Assam,India,217570,1093,214846,1631
Bihar,India,262556,1541,260645,370
Chandigarh,India,21839,353,21056,430
Chhattisgarh,India,312816,3842,306094,2880
Dadra and Nagar Haveli and Daman and Diu,India,3406,2,3400,4
Delhi,India,639464,10911,627149,1404
Goa,India,55026,796,53647,583
Gujarat,India,270316,4410,263475,2431
Haryana,India,270950,3050,266612,1288
Himachal Pradesh,India,58777,996,57347,434
Jammu and Kashmir,India,126504,1958,123717,829
Jharkhand,India,119986,1090,118411,485
Karnataka,India,951600,12336,933421,5843
Kerala,India,1061341,4210,1008972,48159
Ladakh,India,9819,130,9643,46
Lakshadweep,India,397,1,268,128
Madhya Pradesh,India,262102,3865,255336,2901
Maharashtra,India,2161467,52184,2030458,78825
Manipur,India,29274,373,28871,30
Meghalaya,India,13963,148,13798,17
Mizoram,India,4426,10,4396,20
Nagaland,India,12200,91,12102,7
Odisha,India,337277,1916,334647,714
Puducherry,India,39734,669,38888,177
Punjab,India,182809,5850,172106,4853
Rajasthan,India,320455,2787,316364,1304
Sikkim,India,6145,135,5965,45
Tamil Nadu,India,852016,12501,835506,4009
Telangana,India,299086,1635,295544,1907
Tripura,India,33420,391,32987,42
Uttar Pradesh,India,603608,8727,592803,2078
Uttarakhand,India,97031,1692,94880,459
West Bengal,India,575316,10268,561755,3293
