Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5031,62,4964,5
Andhra Pradesh,India,891861,7184,883277,1400
Arunachal Pradesh,India,16840,56,16781,3
Assam,India,217797,1098,215080,1619
Bihar,India,263025,1551,261136,338
Chandigarh,India,23096,358,21650,1088
Chhattisgarh,India,317329,3890,309433,4006
Dadra and Nagar Haveli and Daman and Diu,India,3438,2,3405,31
Delhi,India,643696,10941,630493,2262
Goa,India,55917,806,54362,749
Gujarat,India,278207,4424,269361,4422
Haryana,India,275137,3074,268968,3095
Himachal Pradesh,India,59675,1006,57909,760
Jammu and Kashmir,India,127640,1974,124746,920
Jharkhand,India,120628,1093,118987,548
Karnataka,India,960272,12390,939499,8383
Kerala,India,1091270,4396,1057097,29777
Ladakh,India,9847,130,9686,31
Lakshadweep,India,604,1,400,203
Madhya Pradesh,India,268594,3887,259967,4740
Maharashtra,India,2314413,52861,2134072,127480
Manipur,India,29313,373,28914,26
Meghalaya,India,13997,148,13820,29
Mizoram,India,4437,10,4416,11
Nagaland,India,12225,91,12120,14
Odisha,India,338192,1918,335660,614
Puducherry,India,40030,671,39169,190
Punjab,India,197755,6072,180133,11550
Rajasthan,India,322969,2790,317726,2453
Sikkim,India,6184,135,6003,46
Tamil Nadu,India,859726,12547,842309,4870
Telangana,India,301318,1654,297681,1983
Tripura,India,33433,391,33029,13
Uttar Pradesh,India,605290,8746,594693,1851
Uttarakhand,India,97806,1703,95494,609
West Bengal,India,578347,10292,564912,3143
