Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5041,62,4973,6
Andhra Pradesh,India,895121,7197,884978,2946
Arunachal Pradesh,India,16842,56,16785,1
Assam,India,218099,1103,215277,1719
Bihar,India,263940,1565,261648,727
Chandigarh,India,25130,365,22587,2178
Chhattisgarh,India,329694,4011,313749,11934
Dadra and Nagar Haveli and Daman and Diu,India,3510,2,3438,70
Delhi,India,651227,10973,635364,4890
Goa,India,56981,821,55004,1156
Gujarat,India,292169,4466,278880,8823
Haryana,India,282569,3110,272714,6745
Himachal Pradesh,India,61301,1027,58620,1654
Jammu and Kashmir,India,129031,1983,125535,1513
Jharkhand,India,121695,1100,119626,969
Karnataka,India,975955,12461,946589,16905
Kerala,India,1109908,4527,1080803,24578
Ladakh,India,9942,130,9711,101
Lakshadweep,India,697,1,592,104
Madhya Pradesh,India,280289,3919,266323,10047
Maharashtra,India,2564881,53684,2262593,248604
Manipur,India,29362,374,28935,53
Meghalaya,India,14019,149,13848,22
Mizoram,India,4454,11,4425,18
Nagaland,India,12226,91,12133,2
Odisha,India,339246,1919,336337,990
Puducherry,India,40645,679,39521,445
Punjab,India,220276,6474,193280,20522
Rajasthan,India,327175,2808,319695,4672
Sikkim,India,6210,135,6032,43
Tamil Nadu,India,871440,12630,849064,9746
Telangana,India,304791,1680,299427,3684
Tripura,India,33480,392,33045,43
Uttar Pradesh,India,609443,8769,596286,4388
Uttarakhand,India,98880,1706,96062,1112
West Bengal,India,581865,10312,567771,3782
