Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5043,62,4974,7
Andhra Pradesh,India,896863,7203,885515,4145
Arunachal Pradesh,India,16843,56,16785,2
Assam,India,218176,1104,215325,1747
Bihar,India,264409,1569,261839,1001
Chandigarh,India,25604,372,22840,2392
Chhattisgarh,India,334778,4048,315423,15307
Dadra and Nagar Haveli and Daman and Diu,India,3554,2,3443,109
Delhi,India,654276,10987,637238,6051
Goa,India,57283,823,55181,1279
Gujarat,India,296320,4479,281707,10134
Haryana,India,284944,3125,274024,7795
Himachal Pradesh,India,61967,1030,58813,2124
Jammu and Kashmir,India,129413,1984,125748,1681
Jharkhand,India,122281,1103,119779,1399
Karnataka,India,981044,12484,948988,19572
Kerala,India,1113722,4553,1084585,24584
Ladakh,India,9965,130,9724,111
Lakshadweep,India,714,1,614,99
Madhya Pradesh,India,284265,3937,268290,12038
Maharashtra,India,2637735,53907,2300056,283772
Manipur,India,29373,374,28939,60
Meghalaya,India,14029,150,13853,26
Mizoram,India,4463,11,4426,26
Nagaland,India,12229,92,12133,4
Odisha,India,339694,1919,336482,1293
Puducherry,India,40836,679,39521,636
Punjab,India,226059,6576,196831,22652
Rajasthan,India,328743,2811,320199,5733
Sikkim,India,6215,135,6039,41
Tamil Nadu,India,875190,12650,851222,11318
Telangana,India,305804,1685,299878,4241
Tripura,India,33490,392,33047,51
Uttar Pradesh,India,611301,8779,596698,5824
Uttarakhand,India,99258,1708,96388,1162
West Bengal,India,583027,10320,568476,4231
