Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,5022,62,4952,8
Andhra Pradesh,India,890215,7170,882219,826
Arunachal Pradesh,India,16838,56,16780,2
Assam,India,217593,1093,214879,1621
Bihar,India,262628,1542,260737,349
Chandigarh,India,21962,355,21104,503
Chhattisgarh,India,313299,3848,306490,2961
Dadra and Nagar Haveli and Daman and Diu,India,3408,2,3400,6
Delhi,India,639921,10914,627423,1584
Goa,India,55143,796,53737,610
Gujarat,India,271245,4412,264195,2638
Haryana,India,271365,3052,266843,1470
Himachal Pradesh,India,58877,996,57386,495
Jammu and Kashmir,India,126693,1958,123860,875
Jharkhand,India,120068,1090,118505,473
Karnataka,India,952565,12346,934143,6076
Kerala,India,1067044,4241,1016515,46288
Ladakh,India,9821,130,9649,42
Lakshadweep,India,414,1,285,128
Madhya Pradesh,India,262850,3865,255888,3097
Maharashtra,India,2179185,52280,2043349,83556
Manipur,India,29283,373,28878,32
Meghalaya,India,13966,148,13804,14
Mizoram,India,4427,10,4398,19
Nagaland,India,12205,91,12102,12
Odisha,India,337448,1917,334767,764
Puducherry,India,39777,669,38940,168
Punjab,India,184310,5872,172845,5593
Rajasthan,India,320772,2787,316515,1470
Sikkim,India,6150,135,5986,29
Tamil Nadu,India,852967,12504,836473,3990
Telangana,India,299406,1637,295821,1948
Tripura,India,33422,391,32998,33
Uttar Pradesh,India,603788,8728,593035,2025
Uttarakhand,India,97134,1692,94979,463
West Bengal,India,575712,10272,562195,3245
