Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,4989,62,4897,30
Andhra Pradesh,India,886245,7142,877443,1660
Arunachal Pradesh,India,16815,56,16707,52
Assam,India,216887,1075,213084,2728
Bihar,India,257991,1461,253289,3241
Chandigarh,India,20595,330,20080,185
Chhattisgarh,India,294355,3575,284848,5932
Dadra and Nagar Haveli and Daman and Diu,India,3391,2,3380,9
Delhi,India,632821,10764,619723,2334
Goa,India,52570,756,50952,862
Gujarat,India,256852,4369,246516,5967
Haryana,India,266581,2993,261751,1837
Himachal Pradesh,India,57019,967,55468,584
Jammu and Kashmir,India,123538,1923,120512,1103
Jharkhand,India,117887,1057,115683,1147
Karnataka,India,933077,12181,913012,7884
Kerala,India,857380,3506,783393,70481
Ladakh,India,9662,129,9454,79
Lakshadweep,India,0,0,0,21
Madhya Pradesh,India,252186,3763,242691,5732
Maharashtra,India,1994977,50523,1894839,49615
Manipur,India,28900,367,28298,235
Meghalaya,India,13710,144,13433,133
Mizoram,India,4334,9,4258,67
Nagaland,India,12066,88,11866,112
Odisha,India,333566,1902,330051,1613
Puducherry,India,38706,643,37766,297
Punjab,India,170937,5516,163009,2412
Rajasthan,India,315603,2752,308547,4304
Sikkim,India,6052,131,5765,156
Tamil Nadu,India,831866,12281,814098,5487
Telangana,India,292395,1583,286893,3919
Tripura,India,33336,391,32907,38
Uttar Pradesh,India,597238,8584,580482,8172
Uttarakhand,India,95039,1619,91428,1992
West Bengal,India,566073,10074,549218,6781
