Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,4993,62,4907,24
Andhra Pradesh,India,886852,7147,878232,1473
Arunachal Pradesh,India,16818,56,16725,37
Assam,India,216976,1077,213492,2407
Bihar,India,258638,1476,254563,2599
Chandigarh,India,20686,333,20226,127
Chhattisgarh,India,296326,3609,287677,5040
Dadra and Nagar Haveli and Daman and Diu,India,3394,2,3382,10
Delhi,India,633739,10799,621060,1880
Goa,India,52867,761,51233,873
Gujarat,India,258687,4375,249352,4960
Haryana,India,267075,3009,262507,1559
Himachal Pradesh,India,57189,971,55749,469
Jammu and Kashmir,India,123946,1929,120914,1103
Jharkhand,India,118232,1061,116293,878
Karnataka,India,935478,12193,915924,7361
Kerala,India,884242,3587,808377,72278
Ladakh,India,9675,129,9484,62
Lakshadweep,India,57,0,0,57
Madhya Pradesh,India,253405,3786,245309,4310
Maharashtra,India,2006354,50740,1910521,45093
Manipur,India,28970,369,28405,196
Meghalaya,India,13727,146,13459,122
Mizoram,India,4351,9,4284,58
Nagaland,India,12076,88,11884,104
Odisha,India,334150,1904,330962,1284
Puducherry,India,38830,644,37884,302
Punjab,India,171733,5553,163887,2293
Rajasthan,India,316485,2758,310279,3448
Sikkim,India,6068,132,5802,134
Tamil Nadu,India,834171,12309,816878,4984
Telangana,India,293253,1589,288275,3389
Tripura,India,33345,391,32919,35
Uttar Pradesh,India,598445,8609,582506,7330
Uttarakhand,India,95586,1629,92224,1733
West Bengal,India,567714,10107,551211,6396
