Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,4994,62,4922,10
Andhra Pradesh,India,887349,7152,878828,1369
Arunachal Pradesh,India,16824,56,16753,15
Assam,India,217042,1081,213857,2104
Bihar,India,259149,1490,256014,1645
Chandigarh,India,20819,334,20339,146
Chhattisgarh,India,297868,3647,289708,4513
Dadra and Nagar Haveli and Daman and Diu,India,3396,2,3388,6
Delhi,India,634325,10829,621995,1501
Goa,India,53100,763,51600,737
Gujarat,India,260220,4382,251862,3976
Haryana,India,267504,3014,263236,1254
Himachal Pradesh,India,57296,974,55991,331
Jammu and Kashmir,India,124234,1931,121253,1050
Jharkhand,India,118495,1066,116706,723
Karnataka,India,937383,12207,918859,6317
Kerala,India,905591,3663,829452,72476
Ladakh,India,9688,129,9511,48
Lakshadweep,India,69,0,0,69
Madhya Pradesh,India,254270,3799,247418,3053
Maharashtra,India,2015524,50894,1920006,44624
Manipur,India,29007,370,28476,161
Meghalaya,India,13741,146,13506,89
Mizoram,India,4362,9,4311,42
Nagaland,India,12083,88,11938,57
Odisha,India,334667,1906,331535,1226
Puducherry,India,38934,646,38006,282
Punjab,India,172406,5581,164745,2080
Rajasthan,India,317104,2761,311679,2664
Sikkim,India,6079,133,5844,102
Tamil Nadu,India,836315,12333,819306,4676
Telangana,India,293923,1594,289631,2698
Tripura,India,33346,391,32934,21
Uttar Pradesh,India,599376,8636,584372,6368
Uttarakhand,India,95826,1639,92748,1439
West Bengal,India,568884,10139,552877,5868
