Province_State,Country_Region,Confirmed,Deaths,Recovered,Active
Andaman and Nicobar Islands,India,4994,62,4924,8
Andhra Pradesh,India,887466,7152,878956,1358
Arunachal Pradesh,India,16827,56,16756,15
Assam,India,217071,1081,213952,2038
Bihar,India,259214,1492,256679,1043
Chandigarh,India,20855,334,20363,158
Chhattisgarh,India,304319,3682,296187,4450
Dadra and Nagar Haveli and Daman and Diu,India,3397,2,3388,7
Delhi,India,634524,10835,622114,1575
Goa,India,53185,765,51652,768
Gujarat,India,260566,4384,252464,3718
Haryana,India,267601,3014,263347,1240
Himachal Pradesh,India,57356,974,56043,339
Jammu and Kashmir,India,124297,1932,121402,963
Jharkhand,India,118557,1069,116818,670
Karnataka,India,937933,12209,919503,6221
Kerala,India,911362,3682,835046,72634
Ladakh,India,9705,129,9513,63
Lakshadweep,India,69,0,0,69
Madhya Pradesh,India,254496,3802,247739,2955
Maharashtra,India,2018413,50944,1923187,44282
Manipur,India,29022,370,28499,153
Meghalaya,India,13749,146,13513,90
Mizoram,India,4363,9,4313,41
Nagaland,India,12084,88,11944,52
Odisha,India,334780,1906,331667,1207
Puducherry,India,38973,647,38035,291
Punjab,India,172606,5590,164937,2079
Rajasthan,India,317189,2763,311867,2559
Sikkim,India,6084,133,5847,104
Tamil Nadu,India,836818,12339,819850,4629
Telangana,India,294120,1596,289987,2537
Tripura,India,33348,391,32936,21
Uttar Pradesh,India,599624,8642,584752,6230
Uttarakhand,India,95908,1642,92928,1338
West Bengal,India,569173,10148,553244,5781
